1,5-5：umask 値が「022」の場合、ファイルを新規に作成した際のパーミッションとして適切なものはどれか？,644,755,777,666
2,5-6：ファイルを新規作成したとき、「rw-r-----」パーミッションになるumask値として適切なものはどれか？,0027,0700,0640,0028
3,5-10：/tmp/team 以下に新規にファイルやディレクトリを作成した際、/tmp/team と同じグループが所有する設定として適切なものはどれか？,chmod 2775 /tmp/team,chmod g-s /tmp/team,chmod 4775 /tmp/team,chgrp /tmp/team,chown g-s /tmp/team
4,5-12：「ln fileX fileY」と実行した際の説明として、適切なものはどれか？,fileX を基に fileY というハードリンクを作成する,fileX を基に fileY というシンボリックリンクを作成する,ファイル fileY のコピーを fileX に作成する,ファイル fileX のコピーを fileY に作成する
5,5-13：ハードリンクしたときに変更されるファイルの属性は何か？,リンク数,iノード,パーミッション,タイムスタンプ,所有者
6,5-15：あるファイルシステムに空き領域が足らなくなり、この中のあるディレクトリ以下を別のファイルシステムに移すことになった。新しく移したディレクトリを移す前と同じパス名でアクセスできるようにする方法として適切なものはどれか？,シンボリックリンクを作成する,ハードリンクを使用する,デバイススペシャルファイルを使用する,ソケットを使用する
7,5-18：find コマンドでファイルを検索するとき、検索するディレクトリの深さを3階層までに制限する操作として適切なものはどれか？,find . -maxdepth 3 -name filename,find . -maxdirs 3 -name filename,find . -n 3 -name filename,find にそのような機能はない
8,5-21：locate コマンドが参照するデータベースの中に特定の検索ディレクトリを含めないようにする方法として、適切なものはどれか？,/etc/updatedb.conf ファイルを編集する,特定のディレクトリを除外した検索はできない,locate コマンドの --exclude オプションで指定する,locate コマンドの -e オプションで指定する
9,5-22：PATH 変数に指定されたディレクトリに対して、コマンドを検索するコマンドとして適切なものはどれか？,which,locate,pathname,ldd
10,5-24：ps コマンドのマニュアルのファイルがどこにあるかを調べるコマンドラインとして適切なものはどれか？,whereis ps,which ps,apropos ps,type ps
11,5-25：PATH変数に指定されたディレクトリ以外に置かれているコマンドを検索するコマンドはどれか？,find,where,which,print
