1,3-4：init のプロセス ID として適切なものはどれか？,1,0,-1,決まっていない
2,3-6：プロセスのプライオリティ（優先度）を変更する場合、設定可能な最大値はいくつか？,19,100,20,0,139
3,3-8：バックグラウンドで動作しているジョブをフォアグランドで動かすコマンドとして適切なものはどれか？,fg,bg,renice,top
4,3-11：ログアウトした後もコマンドが終了することなく、バックグラウンドで実行を続けさせるコマンドラインとして適切なものはどれか？,nohup コマンド名 &,kill -SIGHUP コマンド名 &,sighup コマンド名 &,kill -NOHUP コマンド名 &
5,3-12：「kill プロセスID」を実行したときにプロセスに送られるシグナルとして適切なものはどれか？,SIGTERM(15),SIGINT(2),SIGHUP(1),SIGKILL(9)
6,3-14：[Ctrl]+[c] で送信されるシグナル番号として適切なものはどれか？,SIGINT (2),SIGHUP (1),SIGKILL (9),SIGTERM (15),SIGCONT (18)
7,3-15：あるプロセスの PID が 1023 のとき、このプロセスを終了させたいが、終了時にそのプロセスによるクリーンアップ（終了処理）を実行させる際のコマンドラインとして適切なものはどれか？,kill -15 1023 または kill -SIGTERM 1023,kill -SIGHUP 1023,kill -9 1023,kill -SIGKILL 1023
8,3-18：特定のコマンドを秒数を繰り返し実行させて、結果を端末に表示するコマンドはどれか？,watch,do ,while,loop,exe
9,3-19：tmux コマンドの説明で誤っているものはどれか？,GUI 端末の画面制御プログラムである,画面分割や、単一の端末に複数画面の作成ができる,複数のセッションを使用することができる,作業途中の状態を保ったままセッションを切断できる
10,3-13：「kill 1234」と同じ動きをするコマンドラインとして適切なものはどれか？,「kill -15 1234」もしくは「kill - SIGTERM 1234」,「kill -2 1234」もしくは「kill -s SIGINT 1234」,「kill -9 1234」もしくは「kill -s SIGKILL 1234」,「kill -15 1234」もしくは「kill -s SIGTERM 1234」
11,3-16：SIGUSR1 シグナルを apache2 という名前のプロセスに送信させる際のコマンドラインとして適切なものはどれか？,killall -SIGUSR1 apache2,kill -15 apache2,kill -SIGUSR1 apache2,killall -15 apache2,apache2 のプロセスIDを特定しなければ、シグナルは送信できない
